Time:512Hz,Epoch,Electrode,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
0,0,107,61,54,280789,16458,2627,7221,2333,2637,520,294
0.001953125,0,83,61,54,280789,16458,2627,7221,2333,2637,520,294
0.00390625,0,84,61,54,280789,16458,2627,7221,2333,2637,520,294
0.005859375,0,74,61,54,280789,16458,2627,7221,2333,2637,520,294
0.0078125,0,40,61,54,280789,16458,2627,7221,2333,2637,520,294
0.009765625,0,1,61,54,280789,16458,2627,7221,2333,2637,520,294
0.01171875,0,-10,61,54,280789,16458,2627,7221,2333,2637,520,294
0.013671875,0,19,61,54,280789,16458,2627,7221,2333,2637,520,294
0.015625,0,49,61,54,280789,16458,2627,7221,2333,2637,520,294
0.017578125,0,40,61,54,280789,16458,2627,7221,2333,2637,520,294
0.01953125,0,36,61,54,280789,16458,2627,7221,2333,2637,520,294
0.021484375,0,18,61,54,280789,16458,2627,7221,2333,2637,520,294
0.0234375,0,-18,61,54,280789,16458,2627,7221,2333,2637,520,294
0.025390625,0,-40,61,54,280789,16458,2627,7221,2333,2637,520,294
0.02734375,0,-29,61,54,280789,16458,2627,7221,2333,2637,520,294
0.029296875,0,-18,61,54,280789,16458,2627,7221,2333,2637,520,294
0.03125,0,-22,61,54,280789,16458,2627,7221,2333,2637,520,294
0.033203125,0,-20,61,54,280789,16458,2627,7221,2333,2637,520,294
0.03515625,0,-11,61,54,280789,16458,2627,7221,2333,2637,520,294
0.037109375,0,-5,61,54,280789,16458,2627,7221,2333,2637,520,294
0.0390625,0,0,61,54,280789,16458,2627,7221,2333,2637,520,294
0.041015625,0,16,61,54,280789,16458,2627,7221,2333,2637,520,294
0.04296875,0,24,61,54,280789,16458,2627,7221,2333,2637,520,294
0.044921875,0,9,61,54,280789,16458,2627,7221,2333,2637,520,294
0.046875,0,1,61,54,280789,16458,2627,7221,2333,2637,520,294
0.048828125,0,-5,61,54,280789,16458,2627,7221,2333,2637,520,294
0.05078125,0,12,61,54,280789,16458,2627,7221,2333,2637,520,294
0.052734375,0,34,61,54,280789,16458,2627,7221,2333,2637,520,294
0.0546875,0,19,61,54,280789,16458,2627,7221,2333,2637,520,294
