Time:512Hz,Epoch,Electrode,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma,Event Id,Event Date,Event Duration
0,0,107,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.001953125,0,103,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.00390625,0,108,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.005859375,0,53,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.0078125,0,-9,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.009765625,0,-17,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.01171875,0,6,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.013671875,0,33,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.015625,0,83,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.017578125,0,90,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.01953125,0,58,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.021484375,0,44,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.0234375,0,41,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.025390625,0,36,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.02734375,0,22,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.029296875,0,13,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.03125,0,-2,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.033203125,0,28,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.03515625,0,68,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.037109375,0,72,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.0390625,0,58,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.041015625,0,28,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.04296875,0,-28,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.044921875,0,-59,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.046875,0,-43,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.048828125,0,-17,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.05078125,0,9,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.052734375,0,44,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.0546875,0,61,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.056640625,0,44,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.05859375,0,92,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.060546875,0,44,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.0625,1,-44,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.064453125,1,-45,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.06640625,1,12,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.068359375,1,59,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.0703125,1,80,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.072265625,1,86,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.07421875,1,103,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.076171875,1,114,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.078125,1,150,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.080078125,1,123,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.08203125,1,39,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
0.083984375,1,7,66,29,514865,59243,29424,22670,22705,16876,20537,80846,,,
